"Subject","Chapter","Topic"
"Computer Vision","Object Detection","R-CNN, Fast R-CNN, Faster R-CNN, Mask R-CNN"
"Computer Vision","Object Detection","YOLO (v1-v12)"
"Computer Vision","Object Detection","SSD"
"Computer Vision","Object Detection","RetinaNet"
"Computer Vision","Object Detection","Anchor-based vs anchor-free"
"Computer Vision","Object Detection","FCOS, CenterNet"
"Computer Vision","Object Detection","DETR, Deformable DETR, DINO-DETR"
"Computer Vision","Object Detection","Grounding DINO, OWL-ViT (open-vocabulary)"
"Computer Vision","Object Detection","NMS and Soft-NMS"
"Computer Vision","Object Detection","mAP, IoU evaluation"
"Computer Vision","Segmentation","Semantic segmentation (FCN, U-Net, DeepLab v1-v3+, SegFormer)"
"Computer Vision","Segmentation","Instance segmentation (Mask R-CNN, YOLACT)"
"Computer Vision","Segmentation","Panoptic segmentation"
"Computer Vision","Segmentation","Segment Anything (SAM, SAM 2)"
"Computer Vision","Segmentation","Promptable segmentation"
"Computer Vision","Other Vision Tasks","Pose estimation (OpenPose, HRNet, ViTPose)"
"Computer Vision","Other Vision Tasks","Keypoint detection"
"Computer Vision","Other Vision Tasks","Face detection and recognition (FaceNet, ArcFace)"
"Computer Vision","Other Vision Tasks","OCR (Tesseract, TrOCR, PaddleOCR)"
"Computer Vision","Other Vision Tasks","Image super-resolution"
"Computer Vision","Other Vision Tasks","Image inpainting"
"Computer Vision","Other Vision Tasks","Image denoising and restoration"
"Computer Vision","Other Vision Tasks","Depth estimation (monocular, stereo)"
"Computer Vision","Other Vision Tasks","Image-to-image translation"
"Computer Vision","Video Understanding","Action recognition (I3D, SlowFast, TimeSformer, VideoMAE)"
"Computer Vision","Video Understanding","Video classification"
"Computer Vision","Video Understanding","Temporal action localization"
"Computer Vision","Video Understanding","Object tracking (SORT, DeepSORT, ByteTrack)"
"Computer Vision","Video Understanding","Video transformers"
"Computer Vision","Video Understanding","Video diffusion (Sora, Veo, Kling, etc.)"
"Computer Vision","3D Vision","Point clouds (PointNet, PointNet++, DGCNN)"
"Computer Vision","3D Vision","Voxel-based methods"
"Computer Vision","3D Vision","Neural Radiance Fields (NeRF, Instant-NGP, Mip-NeRF)"
"Computer Vision","3D Vision","Gaussian Splatting (3DGS, 4DGS)"
"Computer Vision","3D Vision","Mesh-based methods"
"Computer Vision","3D Vision","SDFs (Signed Distance Fields)"
"Computer Vision","3D Vision","Diffusion-based 3D generation"
"Computer Vision","Vision Transformers","ViT"
"Computer Vision","Vision Transformers","DeiT"
"Computer Vision","Vision Transformers","Swin Transformer (v1, v2)"
"Computer Vision","Vision Transformers","PVT, Twins"
"Computer Vision","Vision Transformers","CvT, CoAtNet (hybrid)"
"Computer Vision","Vision Transformers","MAE (Masked Autoencoders)"
"Computer Vision","Vision Transformers","BEiT"
"Computer Vision","Vision Transformers","DINO, DINOv2, DINOv3"
"Computer Vision","Vision Transformers","Token merging, dynamic tokens"
"Computer Vision","Image Generation","GAN-based generation (StyleGAN family)"
"Computer Vision","Image Generation","DDPM, DDIM (image)"
"Computer Vision","Image Generation","Latent Diffusion Models"
"Computer Vision","Image Generation","Stable Diffusion 1.5/2/XL/3/3.5"
"Computer Vision","Image Generation","Imagen, DALL-E 2/3"
"Computer Vision","Image Generation","FLUX, Ideogram"
"Computer Vision","Image Generation","ControlNet, T2I-Adapter"
"Computer Vision","Image Generation","LoRA fine-tuning of diffusion models"
"Computer Vision","Image Generation","DreamBooth, Textual Inversion"
"Computer Vision","Image Generation","IP-Adapter"
"Computer Vision","Image Generation","Flow-matching image generators"
"Computer Vision","Image Generation","Autoregressive image generation (Parti, MUSE)"
"Computer Vision","Self-Supervised Vision","SimCLR"
"Computer Vision","Self-Supervised Vision","MoCo v1/v2/v3"
"Computer Vision","Self-Supervised Vision","BYOL"
"Computer Vision","Self-Supervised Vision","SimSiam"
"Computer Vision","Self-Supervised Vision","Barlow Twins, VICReg"
"Computer Vision","Self-Supervised Vision","DINO, DINOv2, DINOv3 (SSL)"
"Computer Vision","Self-Supervised Vision","MAE, SimMIM, BEiT (masked image modeling)"
"Computer Vision","Self-Supervised Vision","JEPA, I-JEPA, V-JEPA, V-JEPA 2"
"Speech and Audio","Audio Signal Processing","Sampling, quantization, Nyquist"
"Speech and Audio","Audio Signal Processing","Time-domain and frequency-domain"
"Speech and Audio","Audio Signal Processing","Fourier Transform, FFT"
"Speech and Audio","Audio Signal Processing","Short-Time Fourier Transform (STFT)"
"Speech and Audio","Audio Signal Processing","Spectrograms and mel-spectrograms"
"Speech and Audio","Audio Signal Processing","MFCC features"
"Speech and Audio","Audio Signal Processing","Filter banks"
"Speech and Audio","Audio Signal Processing","Pitch and prosody features"
"Speech and Audio","Audio Signal Processing","Audio augmentation (SpecAugment)"
"Speech and Audio","Speech Recognition (ASR)","HMM-GMM systems"
"Speech and Audio","Speech Recognition (ASR)","DeepSpeech, DeepSpeech 2"
"Speech and Audio","Speech Recognition (ASR)","CTC and CTC-based models"
"Speech and Audio","Speech Recognition (ASR)","Listen-Attend-Spell"
"Speech and Audio","Speech Recognition (ASR)","RNN-T (Transducer)"
"Speech and Audio","Speech Recognition (ASR)","Conformer"
"Speech and Audio","Speech Recognition (ASR)","Wav2Vec, Wav2Vec 2.0"
"Speech and Audio","Speech Recognition (ASR)","HuBERT"
"Speech and Audio","Speech Recognition (ASR)","Whisper / Whisper v3"
"Speech and Audio","Speech Recognition (ASR)","Streaming ASR"
"Speech and Audio","Speech Synthesis (TTS)","Concatenative and parametric TTS"
"Speech and Audio","Speech Synthesis (TTS)","WaveNet"
"Speech and Audio","Speech Synthesis (TTS)","Tacotron, Tacotron 2"
"Speech and Audio","Speech Synthesis (TTS)","FastSpeech 1/2"
"Speech and Audio","Speech Synthesis (TTS)","Glow-TTS, VITS"
"Speech and Audio","Speech Synthesis (TTS)","Diffusion TTS (Grad-TTS, NaturalSpeech)"
"Speech and Audio","Speech Synthesis (TTS)","VALL-E, VALL-E X"
"Speech and Audio","Speech Synthesis (TTS)","Voicebox, XTTS"
"Speech and Audio","Speech Synthesis (TTS)","Vocoders (Griffin-Lim, WaveGlow, HiFi-GAN, BigVGAN)"
"Speech and Audio","Other Audio Tasks","Speaker recognition and verification"
"Speech and Audio","Other Audio Tasks","Speaker diarization"
"Speech and Audio","Other Audio Tasks","Voice conversion"
"Speech and Audio","Other Audio Tasks","Source separation"
"Speech and Audio","Other Audio Tasks","Audio classification (AudioSet, ESC)"
"Speech and Audio","Other Audio Tasks","Sound event detection"
"Speech and Audio","Other Audio Tasks","Music generation (MusicLM, MusicGen, Stable Audio, Suno)"
"Speech and Audio","Other Audio Tasks","Audio language models (AudioLM, AudioPaLM)"
"Speech and Audio","Other Audio Tasks","Neural audio codecs (SoundStream, Encodec)"
"Multimodal Learning","Multimodal Foundations","Modality encoders and projectors"
"Multimodal Learning","Multimodal Foundations","Joint embedding spaces"
"Multimodal Learning","Multimodal Foundations","Contrastive multimodal learning"
"Multimodal Learning","Multimodal Foundations","Modality alignment"
"Multimodal Learning","Multimodal Foundations","Modality fusion strategies (early, late, hybrid, cross-attention)"
"Multimodal Learning","Multimodal Foundations","Tokenization across modalities (image patches, audio frames, video tubelets)"
"Multimodal Learning","Multimodal Foundations","Discrete vs continuous multimodal tokens"
"Multimodal Learning","Vision-Language Models","CLIP, OpenCLIP, EVA-CLIP"
"Multimodal Learning","Vision-Language Models","SigLIP, SigLIP2"
"Multimodal Learning","Vision-Language Models","ALIGN"
"Multimodal Learning","Vision-Language Models","BLIP, BLIP-2, InstructBLIP"
"Multimodal Learning","Vision-Language Models","Flamingo, OpenFlamingo"
"Multimodal Learning","Vision-Language Models","LLaVA family (LLaVA-1.5, LLaVA-NeXT, LLaVA-OneVision)"
"Multimodal Learning","Vision-Language Models","MiniGPT-4, mPLUG-Owl"
"Multimodal Learning","Vision-Language Models","Kosmos-1/2"
"Multimodal Learning","Vision-Language Models","GPT-4V / GPT-4o"
"Multimodal Learning","Vision-Language Models","Gemini (1.5, 2.0, 3)"
"Multimodal Learning","Vision-Language Models","Qwen-VL, Qwen2-VL, Qwen2.5-VL"
"Multimodal Learning","Vision-Language Models","InternVL"
"Multimodal Learning","Vision-Language Models","Pixtral"
"Multimodal Learning","Vision-Language Models","Phi-3.5/4 Vision/Multimodal"
"Multimodal Learning","Vision-Language Models","DeepSeek-VL, Janus, Janus-Pro"
"Multimodal Learning","Vision-Language Models","Molmo"
"Multimodal Learning","Vision-Language Models","Grounding multimodal models"
"Multimodal Learning","Audio-Language Models","Qwen-Audio, Qwen2-Audio"
"Multimodal Learning","Audio-Language Models","SALMONN"
"Multimodal Learning","Audio-Language Models","SpeechGPT"
"Multimodal Learning","Audio-Language Models","LLaMA-Omni"
"Multimodal Learning","Audio-Language Models","GPT-4o audio modality"
"Multimodal Learning","Audio-Language Models","AudioPaLM"
"Multimodal Learning","Video-Language Models","VideoChat, Video-LLaVA, Video-ChatGPT"
"Multimodal Learning","Video-Language Models","LLaMA-VID"
"Multimodal Learning","Video-Language Models","Gemini long-video understanding"
"Multimodal Learning","Video-Language Models","Video-LLaMA"
"Multimodal Learning","Any-to-Any / Omni Models","NExT-GPT"
"Multimodal Learning","Any-to-Any / Omni Models","CoDi, CoDi-2"
"Multimodal Learning","Any-to-Any / Omni Models","Unified-IO 2"
"Multimodal Learning","Any-to-Any / Omni Models","GPT-4o (omni)"
"Multimodal Learning","Any-to-Any / Omni Models","Gemini Native Multimodal"
"Multimodal Learning","Any-to-Any / Omni Models","VITA"
"Multimodal Learning","Cross-Modal Generation","Text-to-image (Stable Diffusion, DALL-E, Imagen, FLUX, Ideogram)"
"Multimodal Learning","Cross-Modal Generation","Text-to-video (Sora, Veo, Kling, Runway, Pika)"
"Multimodal Learning","Cross-Modal Generation","Text-to-audio / text-to-music (AudioLDM, Stable Audio, MusicGen, Suno)"
"Multimodal Learning","Cross-Modal Generation","Text-to-speech (multimodal)"
"Multimodal Learning","Cross-Modal Generation","Text-to-3D (DreamFusion, Magic3D, GaussianDreamer)"
"Multimodal Learning","Cross-Modal Generation","Image-to-video, video-to-audio"
"Multimodal Learning","Cross-Modal Generation","ControlNet-style conditioning across modalities"
"Multimodal Learning","Cross-Modal Retrieval","Image-text retrieval"
"Multimodal Learning","Cross-Modal Retrieval","Audio-text retrieval"
"Multimodal Learning","Cross-Modal Retrieval","Video-text retrieval"
"Multimodal Learning","Cross-Modal Retrieval","Multimodal embeddings"
"Multimodal Learning","Embodied / World-Model AI","Vision-Language-Action (VLA) models (RT-2, OpenVLA, pi0, SmolVLA)"
"Multimodal Learning","Embodied / World-Model AI","Robotic foundation models"
"Multimodal Learning","Embodied / World-Model AI","JEPA, V-JEPA, V-JEPA 2 world models"
"Multimodal Learning","Embodied / World-Model AI","Sim-to-real transfer"
"Multimodal Learning","Embodied / World-Model AI","Cosmos and physical world models"
"Multimodal Learning","Embodied / World-Model AI","Diffusion policies for robotics"
"Multimodal Learning","Multimodal Training Pipeline","Stage 1: Modality alignment / projector training"
"Multimodal Learning","Multimodal Training Pipeline","Stage 2: Multimodal pretraining"
"Multimodal Learning","Multimodal Training Pipeline","Stage 3: Multimodal instruction tuning"
"Multimodal Learning","Multimodal Training Pipeline","Stage 4: Multimodal preference optimization (RLHF/DPO)"
"Multimodal Learning","Multimodal Training Pipeline","Multimodal data curation and filtering"
"ML Systems and MLOps","Distributed Training","Data parallelism (DP, DDP)"
"ML Systems and MLOps","Distributed Training","Tensor / model parallelism (Megatron-style)"
"ML Systems and MLOps","Distributed Training","Pipeline parallelism (GPipe, PipeDream, 1F1B, interleaved)"
"ML Systems and MLOps","Distributed Training","Sequence parallelism"
"ML Systems and MLOps","Distributed Training","Context parallelism (Ring Attention)"
"ML Systems and MLOps","Distributed Training","Expert parallelism (MoE)"
"ML Systems and MLOps","Distributed Training","Sharded data parallelism"
"ML Systems and MLOps","Distributed Training","ZeRO (stages 1, 2, 3) and ZeRO-Offload"
"ML Systems and MLOps","Distributed Training","Fully Sharded Data Parallel (FSDP, FSDP2)"
"ML Systems and MLOps","Distributed Training","DeepSpeed"
"ML Systems and MLOps","Distributed Training","Megatron-LM, Megatron-DeepSpeed"
"ML Systems and MLOps","Distributed Training","3D / 4D / 5D parallelism"
"ML Systems and MLOps","Distributed Training","Hybrid parallelism strategies"
"ML Systems and MLOps","Distributed Training","Communication primitives (all-reduce, all-gather, reduce-scatter, all-to-all)"
"ML Systems and MLOps","Distributed Training","NCCL, RCCL, Gloo"
"ML Systems and MLOps","Distributed Training","Gradient accumulation"
"ML Systems and MLOps","Distributed Training","Gradient compression"
"ML Systems and MLOps","Hardware","NVIDIA GPUs (A100, H100, H200, B100, B200, GB200)"
"ML Systems and MLOps","Hardware","AMD MI250/MI300/MI325"
"ML Systems and MLOps","Hardware","Google TPUs (v4, v5e, v5p, Trillium)"
"ML Systems and MLOps","Hardware","AWS Trainium / Inferentia"
"ML Systems and MLOps","Hardware","Cerebras, Groq, SambaNova"
"ML Systems and MLOps","Hardware","Apple Silicon, MLX"
"ML Systems and MLOps","Hardware","Memory hierarchies and HBM"
"ML Systems and MLOps","Hardware","NVLink, NVSwitch"
"ML Systems and MLOps","Hardware","InfiniBand, RoCE, Slingshot"
"ML Systems and MLOps","Mixed-Precision Training","FP32 / TF32 baseline"
"ML Systems and MLOps","Mixed-Precision Training","FP16 with loss scaling"
"ML Systems and MLOps","Mixed-Precision Training","BF16"
"ML Systems and MLOps","Mixed-Precision Training","FP8 (Hopper, Blackwell)"
"ML Systems and MLOps","Mixed-Precision Training","Microscaling formats (MXFP8, MXFP4, NVFP4)"
"ML Systems and MLOps","Mixed-Precision Training","Stochastic rounding"
"ML Systems and MLOps","Mixed-Precision Training","Gradient scaling"
"ML Systems and MLOps","Memory Optimization","Activation checkpointing / recomputation"
"ML Systems and MLOps","Memory Optimization","Selective activation recomputation"
"ML Systems and MLOps","Memory Optimization","CPU and NVMe offloading"
"ML Systems and MLOps","Memory Optimization","Optimizer state sharding"
"ML Systems and MLOps","Memory Optimization","Paged optimizers"
"ML Systems and MLOps","Memory Optimization","Memory-efficient attention"
"ML Systems and MLOps","Data Engineering for LLMs","Web crawl pipelines (Common Crawl, FineWeb, FineWeb-Edu, RedPajama, Dolma)"
"ML Systems and MLOps","Data Engineering for LLMs","Deduplication (exact, fuzzy, MinHash, SimHash)"
"ML Systems and MLOps","Data Engineering for LLMs","Quality filtering (heuristic, model-based)"
"ML Systems and MLOps","Data Engineering for LLMs","Toxicity and PII filtering"
"ML Systems and MLOps","Data Engineering for LLMs","Language identification"
"ML Systems and MLOps","Data Engineering for LLMs","Document classification"
"ML Systems and MLOps","Data Engineering for LLMs","Data mixing and domain weighting"
"ML Systems and MLOps","Data Engineering for LLMs","Curriculum / data scheduling"
"ML Systems and MLOps","Data Engineering for LLMs","Tokenized dataset packing"
"ML Systems and MLOps","Data Engineering for LLMs","Streaming datasets, WebDataset, MosaicML Streaming"
"ML Systems and MLOps","Model Serving and Inference Systems","vLLM (serving)"
"ML Systems and MLOps","Model Serving and Inference Systems","SGLang (serving)"
"ML Systems and MLOps","Model Serving and Inference Systems","TensorRT-LLM (serving)"
"ML Systems and MLOps","Model Serving and Inference Systems","Text Generation Inference (TGI)"
"ML Systems and MLOps","Model Serving and Inference Systems","llama.cpp / MLX / Ollama"
"ML Systems and MLOps","Model Serving and Inference Systems","Triton Inference Server"
"ML Systems and MLOps","Model Serving and Inference Systems","TorchServe"
"ML Systems and MLOps","Model Serving and Inference Systems","Ray Serve / BentoML"
"ML Systems and MLOps","Model Serving and Inference Systems","Continuous batching engines"
"ML Systems and MLOps","Model Serving and Inference Systems","Disaggregated serving"
"ML Systems and MLOps","Model Serving and Inference Systems","Multi-LoRA / multi-tenant serving"
"ML Systems and MLOps","Model Serving and Inference Systems","Edge and on-device inference (CoreML, ONNX Runtime, TensorRT, TFLite, MediaPipe)"
"ML Systems and MLOps","MLOps","Feature stores (Feast, Tecton)"
"ML Systems and MLOps","MLOps","Model registries"
"ML Systems and MLOps","MLOps","Model and data versioning"
"ML Systems and MLOps","MLOps","CI/CD for ML"
"ML Systems and MLOps","MLOps","A/B testing and canary deployments"
"ML Systems and MLOps","MLOps","Shadow and offline evaluation"
"ML Systems and MLOps","MLOps","Drift detection (data, concept, prediction)"
"ML Systems and MLOps","MLOps","Monitoring and observability for LLMs (latency, cost, quality, hallucination)"
"ML Systems and MLOps","MLOps","LLMOps tools (LangSmith, Langfuse, Helicone)"
"ML Systems and MLOps","MLOps","Cost optimization for inference"
"ML Systems and MLOps","Reliability and Operations","Failure handling in large training runs"
"ML Systems and MLOps","Reliability and Operations","Checkpointing strategies"
"ML Systems and MLOps","Reliability and Operations","Elasticity and preemption"
"ML Systems and MLOps","Reliability and Operations","Network and node failure recovery"
"ML Systems and MLOps","Reliability and Operations","Determinism and reproducibility"
"Research Skills","Reading Literature","arXiv navigation and triage"
"Research Skills","Reading Literature","Reading papers efficiently"
"Research Skills","Reading Literature","Reproducing papers from scratch"
"Research Skills","Reading Literature","Critical reading and peer review"
"Research Skills","Reading Literature","Literature surveys"
"Research Skills","Writing and Communication","LaTeX and BibTeX"
"Research Skills","Writing and Communication","Paper structure (intro, related work, method, experiments)"
"Research Skills","Writing and Communication","Figure design and visualization"
"Research Skills","Writing and Communication","Equation typesetting"
"Research Skills","Writing and Communication","Rebuttal writing"
"Research Skills","Writing and Communication","Poster and talk preparation"
"Research Skills","Conferences and Venues","NeurIPS, ICML, ICLR, COLT"
"Research Skills","Conferences and Venues","ACL, EMNLP, NAACL, EACL"
"Research Skills","Conferences and Venues","CVPR, ICCV, ECCV, WACV"
"Research Skills","Conferences and Venues","AAAI, IJCAI, UAI"
"Research Skills","Conferences and Venues","Interspeech, ICASSP"
"Research Skills","Conferences and Venues","CoRL, RSS, ICRA, IROS"
"Research Skills","Conferences and Venues","MLSys, OSDI/SOSP for ML systems"
"Research Skills","Conferences and Venues","Workshops and benchmark tracks"
"Research Skills","Conferences and Venues","Datasets & Benchmarks tracks"
"Research Skills","Experimental Methodology","Experimental design"
"Research Skills","Experimental Methodology","Ablation studies"
"Research Skills","Experimental Methodology","Statistical significance testing for ML"
"Research Skills","Experimental Methodology","Confidence intervals on benchmarks"
"Research Skills","Experimental Methodology","Reproducibility and seeds"
"Research Skills","Experimental Methodology","Compute and energy reporting"
"Research Skills","Experimental Methodology","Negative results"
"Research Skills","Experimental Methodology","Pre-registration"
"Research Skills","Research Practice","Open source contributions"
"Research Skills","Research Practice","Code releases and model cards"
"Research Skills","Research Practice","Dataset documentation (datasheets)"
"Research Skills","Research Practice","Research ethics, IRB"
"Research Skills","Research Practice","Research project management"
"Research Skills","Research Practice","Collaboration (Slack, Notion, shared infra)"
"Research Skills","Research Practice","Mentorship and advising"
"Research Skills","Research Practice","Grant writing and funding"
"Evaluation and Benchmarks","General LLM Benchmarks","MMLU, MMLU-Pro"
"Evaluation and Benchmarks","General LLM Benchmarks","HellaSwag, ARC, WinoGrande"
"Evaluation and Benchmarks","General LLM Benchmarks","BIG-Bench, BIG-Bench Hard (BBH)"
"Evaluation and Benchmarks","General LLM Benchmarks","HELM (holistic evaluation)"
"Evaluation and Benchmarks","General LLM Benchmarks","AGIEval"
"Evaluation and Benchmarks","General LLM Benchmarks","TriviaQA, NaturalQuestions"
"Evaluation and Benchmarks","General LLM Benchmarks","LMArena / Chatbot Arena"
"Evaluation and Benchmarks","General LLM Benchmarks","AlpacaEval, MT-Bench, Arena-Hard"
"Evaluation and Benchmarks","Reasoning Benchmarks","GSM8K, MATH"
"Evaluation and Benchmarks","Reasoning Benchmarks","AIME 2024/2025"
"Evaluation and Benchmarks","Reasoning Benchmarks","GPQA / GPQA-Diamond"
"Evaluation and Benchmarks","Reasoning Benchmarks","Humanity's Last Exam (HLE)"
"Evaluation and Benchmarks","Reasoning Benchmarks","ARC-AGI / ARC-AGI-2"
"Evaluation and Benchmarks","Reasoning Benchmarks","Olympiad-style math benchmarks"
"Evaluation and Benchmarks","Coding Benchmarks","HumanEval, HumanEval+"
"Evaluation and Benchmarks","Coding Benchmarks","MBPP, MBPP+"
"Evaluation and Benchmarks","Coding Benchmarks","LiveCodeBench"
"Evaluation and Benchmarks","Coding Benchmarks","SWE-bench, SWE-bench Verified, SWE-bench Pro"
"Evaluation and Benchmarks","Coding Benchmarks","BigCodeBench"
"Evaluation and Benchmarks","Coding Benchmarks","APPS"
"Evaluation and Benchmarks","Tool / Agent Benchmarks","BFCL (Berkeley Function Calling Leaderboard)"
"Evaluation and Benchmarks","Tool / Agent Benchmarks","tau-Bench, tau2-Bench"
"Evaluation and Benchmarks","Tool / Agent Benchmarks","WebArena, VisualWebArena"
"Evaluation and Benchmarks","Tool / Agent Benchmarks","GAIA"
"Evaluation and Benchmarks","Tool / Agent Benchmarks","SWE-Lancer"
"Evaluation and Benchmarks","Tool / Agent Benchmarks","GDPval"
"Evaluation and Benchmarks","Long-Context Benchmarks","Needle-in-a-Haystack"
"Evaluation and Benchmarks","Long-Context Benchmarks","RULER"
"Evaluation and Benchmarks","Long-Context Benchmarks","InfiniteBench"
"Evaluation and Benchmarks","Long-Context Benchmarks","LongBench"
"Evaluation and Benchmarks","Vision Benchmarks","ImageNet, ImageNet-21k"
"Evaluation and Benchmarks","Vision Benchmarks","COCO (detection, segmentation, captioning)"
"Evaluation and Benchmarks","Vision Benchmarks","ADE20K, Cityscapes"
"Evaluation and Benchmarks","Vision Benchmarks","LVIS"
"Evaluation and Benchmarks","Vision Benchmarks","Kinetics, Something-Something v2"
"Evaluation and Benchmarks","Vision Benchmarks","Open Images"
"Evaluation and Benchmarks","Multimodal Benchmarks","VQA, GQA"
"Evaluation and Benchmarks","Multimodal Benchmarks","MMMU, MMMU-Pro"
"Evaluation and Benchmarks","Multimodal Benchmarks","MMBench, SEED-Bench"
"Evaluation and Benchmarks","Multimodal Benchmarks","ChartQA, DocVQA, OCR-Bench"
"Evaluation and Benchmarks","Multimodal Benchmarks","Video-MME, MVBench"
"Evaluation and Benchmarks","Multimodal Benchmarks","EgoSchema"
"Evaluation and Benchmarks","Speech Benchmarks","LibriSpeech, Common Voice"
"Evaluation and Benchmarks","Speech Benchmarks","WER, CER metrics"
"Evaluation and Benchmarks","Evaluation Metrics","Perplexity, bits-per-byte"
"Evaluation and Benchmarks","Evaluation Metrics","Accuracy, F1, precision, recall"
"Evaluation and Benchmarks","Evaluation Metrics","BLEU, ROUGE, METEOR, chrF, COMET, BLEURT"
"Evaluation and Benchmarks","Evaluation Metrics","mAP, IoU, Dice"
"Evaluation and Benchmarks","Evaluation Metrics","FID, IS, KID, CLIP score"
"Evaluation and Benchmarks","Evaluation Metrics","LPIPS, SSIM, PSNR"
"Evaluation and Benchmarks","Evaluation Metrics","Word Error Rate (WER), MOS for TTS"
"Evaluation and Benchmarks","Evaluation Metrics","Pass@k for code"
"Evaluation and Benchmarks","Evaluation Methodologies","Human evaluation and annotation"
"Evaluation and Benchmarks","Evaluation Methodologies","LLM-as-a-judge"
"Evaluation and Benchmarks","Evaluation Methodologies","Pairwise comparison and Elo ratings"
"Evaluation and Benchmarks","Evaluation Methodologies","Calibration and reliability diagrams"
"Evaluation and Benchmarks","Evaluation Methodologies","Robustness and stress tests"
"Evaluation and Benchmarks","Evaluation Methodologies","Contamination detection"
"Evaluation and Benchmarks","Evaluation Methodologies","Holistic / multi-dimensional evaluation"
"AI Safety and Alignment","Alignment Theory","Outer vs inner alignment"
"AI Safety and Alignment","Alignment Theory","Mesa-optimization"
"AI Safety and Alignment","Alignment Theory","Goal misgeneralization"
"AI Safety and Alignment","Alignment Theory","Reward hacking and specification gaming"
"AI Safety and Alignment","Alignment Theory","Scalable oversight"
"AI Safety and Alignment","Alignment Theory","Debate, recursive reward modeling"
"AI Safety and Alignment","Alignment Theory","Iterated amplification"
"AI Safety and Alignment","Alignment Theory","Weak-to-strong generalization"
"AI Safety and Alignment","Alignment Theory","Deceptive alignment"
"AI Safety and Alignment","Safety Techniques","RLHF / RLAIF"
"AI Safety and Alignment","Safety Techniques","Constitutional AI and constitutional classifiers"
"AI Safety and Alignment","Safety Techniques","Red teaming (manual, automated)"
"AI Safety and Alignment","Safety Techniques","Adversarial training"
"AI Safety and Alignment","Safety Techniques","Jailbreak detection and mitigation"
"AI Safety and Alignment","Safety Techniques","Refusal training"
"AI Safety and Alignment","Safety Techniques","Safe decoding and guardrails"
"AI Safety and Alignment","Safety Techniques","Content moderation models"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Algorithmic fairness definitions (demographic parity, equal odds, calibration)"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Bias measurement and mitigation"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Representation harms"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Allocation harms"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Toxicity, stereotype evaluation"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Disparate impact"
"AI Safety and Alignment","Bias, Fairness, and Ethics","Ethics frameworks for AI"
"AI Safety and Alignment","Privacy","Differential privacy (DP-SGD)"
"AI Safety and Alignment","Privacy","Federated learning"
"AI Safety and Alignment","Privacy","Secure multi-party computation"
"AI Safety and Alignment","Privacy","Homomorphic encryption"
"AI Safety and Alignment","Privacy","Privacy attacks (membership inference, model inversion)"
"AI Safety and Alignment","Privacy","PII handling and redaction"
"AI Safety and Alignment","Adversarial Robustness","Adversarial examples (FGSM, PGD)"
"AI Safety and Alignment","Adversarial Robustness","Adversarial training"
"AI Safety and Alignment","Adversarial Robustness","Certified robustness"
"AI Safety and Alignment","Adversarial Robustness","Backdoor attacks and data poisoning"
"AI Safety and Alignment","Adversarial Robustness","Prompt injection and indirect prompt injection"
"AI Safety and Alignment","Provenance and Watermarking","LLM output watermarking"
"AI Safety and Alignment","Provenance and Watermarking","Image/video watermarking"
"AI Safety and Alignment","Provenance and Watermarking","C2PA and content credentials"
"AI Safety and Alignment","Provenance and Watermarking","Detection of AI-generated content"
"AI Safety and Alignment","Governance and Policy","EU AI Act"
"AI Safety and Alignment","Governance and Policy","US executive orders and NIST AI RMF"
"AI Safety and Alignment","Governance and Policy","Frontier Model Forum, responsible scaling policies"
"AI Safety and Alignment","Governance and Policy","Model evaluations for dangerous capabilities (CBRN, cyber, autonomy)"
"AI Safety and Alignment","Governance and Policy","Compute governance"
"AI Safety and Alignment","Governance and Policy","Open vs closed model debates"
"AI Safety and Alignment","Governance and Policy","Liability and IP issues"
"Emerging and Advanced Topics","Continuous and Implicit Models","Neural ODEs"
"Emerging and Advanced Topics","Continuous and Implicit Models","Neural SDEs"
"Emerging and Advanced Topics","Continuous and Implicit Models","Neural CDEs"
"Emerging and Advanced Topics","Continuous and Implicit Models","Implicit neural representations (SIREN, NeRF-like)"
"Emerging and Advanced Topics","Continuous and Implicit Models","Deep equilibrium models"
"Emerging and Advanced Topics","Graph Neural Networks","Spectral GNNs (ChebNet, GCN)"
"Emerging and Advanced Topics","Graph Neural Networks","Spatial GNNs (GraphSAGE)"
"Emerging and Advanced Topics","Graph Neural Networks","Graph Attention Networks (GAT, GATv2)"
"Emerging and Advanced Topics","Graph Neural Networks","Message Passing Neural Networks"
"Emerging and Advanced Topics","Graph Neural Networks","Graph Transformers"
"Emerging and Advanced Topics","Graph Neural Networks","Heterogeneous and temporal GNNs"
"Emerging and Advanced Topics","Graph Neural Networks","Graph pooling"
"Emerging and Advanced Topics","Graph Neural Networks","Expressivity and Weisfeiler-Lehman hierarchy"
"Emerging and Advanced Topics","Geometric Deep Learning","Group equivariance and invariance"
"Emerging and Advanced Topics","Geometric Deep Learning","SE(3)/E(3) equivariant networks"
"Emerging and Advanced Topics","Geometric Deep Learning","Tensor Field Networks, SE(3)-Transformer"
